词语	强度
评头品足	-5
胆大包天	-7
涸泽而渔	-7
搔头弄姿	-5
小试锋芒	3
左右开弓	3
出口成章	7
兼资文武	7
陆海潘江	9
七步成诗	7
神机妙算	9
胸中甲兵	7
卓荦超伦	9
殚见洽文	7
闳大不经	7
通人达才	7
蜀犬吠日	-3
真知灼见	5
白日升天	3
破壁飞去	5
彪炳千古	9
涉笔成趣	7
赞不绝口	9
折足覆餗	-5
土牛木马	-5
玉卮无当	-5
鸠形鹄面	-3
时通运泰	5
放歌纵酒	5
凤冠霞帔	1
桃李满天下	7
再造之恩	7
藏器待时	5
可操左券	9
根深叶茂	7
一箭双雕	5
功高不赏	9
不遗余力	7
兼功自厉	7
卧薪尝胆	9
拔树寻根	7
明目达聪	5
手到病除	5
胆略兼人	3
凤鸣朝阳	5
鸾翔凤集	5
祥麟威凤	7
下笔有神	5
未雨绸缪	5
仙风道骨	7
一表堂堂	5
感恩图报	5
妙处不传	5
如闻其声，如见其人	3
危言危行	5
执法不阿	5
平地楼台	5
福至心灵	5
风樯阵马	5
饮醇自醉	3
人自为战	3
及锋而试	3
兵强将勇	5
节节胜利	5
所向披靡	7
熊罴之师	5
择善而从	3
孺子可教	5
改邪归正	5
一改故辙	5
袒裼裸裎	-5
苟合取容	-5
如到宝山空手回	-5
大厦将倾，一木难支	-7
兵败如山倒	-5
弃甲倒戈	-7
望风破胆	-5
彩凤随鸦	-3
一事无成	-5
不肖子孙	-5
虚度年华	-5
怙恶不悛	-9
一丘之貉	-5
偷东摸西	-7
放虎自卫	-7
谬种流传	-5
粗服乱头	-1
阿其所好	-5
冥室椟棺	-7
不辨龙蛇	-5
鹦鹉学舌	-3
投机倒把	-7
以耳为目	-3
咎由自取	-7
引狗入寨	-9
自讨没趣	-5
姗姗来迟	-1
蠹众木折	-5
徙宅忘妻	-7
恃勇轻敌	-3
伯歌季舞	3
君子之交	3
淡妆浓抹	-3
逼真逼肖	5
去伪存真	3
丁一确二	3
明辨是非	3
拐弯抹角	-3
虚情假意	-9
奋勇当先	7
身先士卒	9
碧血丹心	7
食少事繁	5
风雨同舟	5
问安视膳	5
敬而远之	-5
敬贤礼士	7
尊师重道	7
得薄能鲜	-5
马齿徒增	-5
昂首望天	-5
独弦哀歌	-5
居功自傲	-5
自高其功	-5
贪名爱利	-7
封豕长蛇	-7
蛇吞象	-7
眼馋肚饱	-5
葱白	7
BS	-7
CC	5
无语	-5
八婆	-3
包子	-5
爱老虎油	9
呕像	-3
MPJ	-5
固执	-5
浑水摸鱼	-1
得寸进尺	-5
尔虞我诈	-7
空洞	-3
婆婆妈妈	-3
滥竽充数	-7
猎取	-1
蛮横	-5
擅自	-1
拈轻怕重	-3
漠然	-3
怨尤	-5
暴烈	-5
招摇	-7
千篇一律	-5
骄矜	-7
求全责备	-3
势利	-7
挑剔	-5
偷懒	-3
畏葸不前	-5
无稽之谈	-7
无中生有	-5
犯疑心病	-1
叶公好龙	-7
变节	-5
灭绝人性	-9
奸险	-9
猥劣	-7
奸诈	-9
诡诈	-7
浇薄	-7
虚骄	-7
不自量力	-5
老气横秋	-5
狂气	-5
刚愎	-5
小心眼	-7
陋习	-9
阳奉阴违	-5
随风倒	-5
自私自利	-7
鄙俗	-5
蛮不讲理	-7
轻率	-5
愚鲁	-7
摇头摆尾	-3
蠢笨	-7
愚顽	-5
儇薄	-5
水性杨花	-7
贪嘴	-3
愚直	-5
怪诞	-3
浮皮潦草	-5
毛手毛脚	-5
食言	-5
鬼祟	-7
出圈儿	-5
奴颜媚骨	-7
欺哄	-3
耍滑	-3
耍赖	-5
恣意妄为	-7
闲散	-1
兔死狗烹	-7
蛮勇	-3
自恋	-3
有勇无谋	-5
不识人间有羞耻事	-7
辱门败户	-7
慢腾腾	-3
人心似铁	-7
盲用	-1
慢慢吞吞	-3
孤行己见	-5
强横霸道	-7
萧规曹随	-5
左右袒	-3
干巴	-3
化公为私	-7
权欲熏心	-7
猥鄙	-9
膏粱子弟	-7
淫秽	-7
艳情	-5
口角	-3
冷酷无情	-5
有理无情	-5
耍滑头	-1
身单力薄	-3
错误百出	-5
生吞活剥	-5
臭名昭著	-7
言之无物	-3
傲物	-5
摆款儿	-1
板荡	-7
暴政	-5
兵痞	-7
财迷	-3
向着	-5
心血来潮	-3
享乐	-3
精湛	5
冰心	5
并力	3
博雅	5
才赋	5
才学	5
苍郁	3
长技	5
草寇	-5
插足	-3
谗佞	-7
伥鬼	-7
吵人	-5
尘嚣	-3
称霸	-5
超卓	7
沉挚	5
成名	5
吃心	-3
齿冷	-5
忡忡	-5
