词语	强度
贞洁	5
一清二白	5
安定团结	5
鲜活	3
民富国强	5
无可挑剔	7
有声有色	5
势不可挡	5
彪炳史册	9
声震寰宇	9
物美价廉	7
醇香	1
顶呱呱	7
抢眼	3
超尘拔俗	9
堪称一绝	9
身手不凡	7
实打实	3
尽善尽美	7
独领风骚	7
独具一格	3
恩同再造	7
白净	3
褒美	7
宝剑	7
报谢	3
忧愤	-5
泄愤	-3
一刀两断	-5
艴然不悦	-3
怒目而视	-5
声色俱厉	-5
惜老怜贫	1
慎重	5
屁滚尿流	-9
屈服	-1
暗算	-3
暴徒	-7
蚕食鲸吞	-7
丑剧	-1
勾结	-3
诡计	-7
荒淫	-7
打家劫舍	-5
毒害	-7
恶人	-7
逢迎	-3
狼心狗肺	-7
溜须拍马	-3
恶感	-3
邪恶	-9
迫害	-7
无礼	-5
侵入	-3
曲意逢迎	-5
色厉内荏	-3
鄙视	-7
屠杀	-7
妄想	-3
瘟神	-5
无恶不作	-7
兴妖作怪	-7
榨取	-3
罪大恶极	-9
小视	-1
嗤之以鼻	-9
薄情	-3
专断	-3
贪杯	-3
欺生	-3
奸笑	-7
潮湿	-1
千仇万恨	-9
过街老鼠	-5
怵心刿目	-7
狼狈不堪	-5
视而不见	-5
兔崽子	-5
党徒	-3
穷酸	-3
坏分子	-5
土棍	-5
魔头	-5
悍妇	-5
死心眼儿	-3
谣诼	-5
羊质虎皮	-5
暗淡	-1
不齿	-3
乏味	-3
熬心	-3
逆耳	-5
颓丧	-1
离愁	-1
俗不可耐	-7
逼迫	-5
一潭死水	-7
忧国爱民	5
不知所为	-5
唉声叹气	-5
自贻伊戚	-1
懊糟	-3
蹦跶	-1
羞耻	-5
终天之恨	-9
慌张	-3
操切	-3
惶惶	-7
惊惶失措	-5
毛躁	-3
顾此失彼	-3
张皇失措	-7
奔窜	-5
憾事	-1
悲观失望	-5
回天乏术	-9
嫉贤妒能	-1
打破醋坛子	-5
过敏	-3
启人疑窦	-7
多疑	-3
傲慢	-7
保守	-1
捕风捉影	-3
沉溺	-1
出尔反尔	-5
虎头蛇尾	-5
豪杰蜂起	5
大法小廉	7
国富兵强	5
朗朗乾坤	3
四海升平	5
长夜难明	-7
民穷财尽	-5
有天无日	-7
除患宁乱	3
正理平治	3
盛名之下，其实难副	-3
十年树木，百年树人	7
成败论人	-3
黄钟毁弃，瓦釜雷鸣	-5
毛遂自荐	1
三顾茅庐	1
知人善任	5
存亡安危	9
功力兼人	5
经纶济世	7
阴谋诡计	-7
一琴一鹤	7
欺公罔法	-9
渎货无厌	-9
贪墨败度	-9
忧公无私	9
徇私舞弊	-7
打抱不平	5
抑暴扶弱	7
扶倾济弱	7
墙倒众人推	-7
信誓旦旦	7
狡兔死，良狗烹	-9
布衣疏食	7
节用厚生	7
轻车简从	3
挥金如土	-9
铺张扬厉	-7
陈言务去	5
百事大吉	5
万事亨通	7
胡思乱想	-1
梦中说梦	-3
子虚乌有	-5
弘毅宽厚	3
石烂海枯	7
至死不变	7
道古稽今，言远和近	1
一孔之见	-5
以貌取人	-5
大吹法螺	-3
张大其事	-3
只见树木，不见森林	-5
东掩西遮	-3
洞幽烛微	7
审时度势	7
九天九地	7
云泥之别	-5
必由之路	9
一鼓作气	5
穷途之哭	-5
世殊事异	-3
望而却步	-3
翻翻覆覆	-3
复旧如初	3
死灰复燃	-9
拔本塞源	-3
毁于一旦	-7
入室弟子	3
天下兴亡，匹夫有责	1
阪上走丸	3
换羽移宫	5
百花争艳	3
移花接木	-5
化险为夷	5
英雄气短	-1
直抒己见	1
宾至如归	1
大醇小疵	-3
元龙豪气	3
锦上添花	7
忍辱负重	3
屡教不改	-7
顽梗不化	-7
二八佳人	5
厚貌深情	-3
先入为主	-1
锦瑟年华	3
重规叠矩	-3
零敲碎打	-3
因袭陈规	-3
蚍蜉带盆	-5
惭凫企鹤	-3
郎才女貌	7
九世同堂	5
名门望族	5
洞天福地	5
蓬户瓮牖	-3
赏同罚异	-7
土阶茅屋	-3
白骨露野	-9
断梗飘蓬	-1
以暴易暴	-7
不胜衣	-1
灭门绝户	-9
发聋振聩	9
北辰星拱	9
德深望重	7
名重识暗	-7
口吻生花	5
畅所欲言	5
临事而惧	-3
洞见症结	3
信口胡言	-3
喙长三尺	-5
空谈快意	-5
虚谈高议	-5
刺刺不休	-3
数黄道黑	-3
不得其死	-3
赤口毒舌	-5
灵机一动	5
临机处置	3
设身处地	3
有闻必录	-3
心有灵犀一点通	3
暮鼓晨钟	3
反躬自问	3
坐不窥堂	3
不看了了	-3
楚囚对泣	-3
傍人篱壁	-3
居功自持	-5
挟势弄权	-5
欺世罔俗	-7
欺天罔地	-9
上梁不正下梁歪	-7
坐于涂炭	-3
弥天大祸	-7
屋漏偏遭连夜雨	-7
堆金叠玉	5
弹丸之地	-3
画栋雕梁	5
釜中生鱼	-1
聊以卒岁	-3
卖身投靠	-7
攀龙附骥	-5
依草附木	-5
谗口嗷嗷	-5
积毁销骨	-7
搬口弄舌	-5
挑拨离间	-5
荒淫无道	-9
声色货利	-7
爨桂炊玉	-3
食玉炊桂	-3
杀人灭口	-7
杀人越货	-7
动心忍性	7
严气正性	5
扶东倒西	-5
一夫当关，万夫莫开	5
厉兵秣马	5
枕戈寝甲	5
兵连祸结	-7
烽火连天	-5
柔茹寡断	-5
打躬作揖	-1
俯首帖耳	-3
下气怡声	-1
恶醉强酒	-5
劈两分星	-3
后浪推前浪	5
漏网之鱼	-5
逍遥法外	-5
撒村骂街	-5
耳目一新	3
贿赂公行	-5
远水不救近火	-5
不徐不疾	3
差三错四	-5
轻重倒置	-5
焦头烂额	-9
图穷匕见	-3
有加无已	-5
人命危浅	-5
衰多益寡	5
衅发萧墙	-7
七拼八凑	-3
可乘之机	-3
怕硬欺软	-5
肆言詈辱	-7
藏垢纳污	-7
自欺欺人	-5
狗头军师	-5
吞云吐雾	-3
攻守同盟	-5
同恶相济	-7
放任自流	-5
鸢飞鱼跃	3
引类呼朋	-5
大打出手	-5
互相推诿	-5
通权达变	3
包办代替	-5
殚精毕力	7
悉索敝赋	5
目无法纪	-7
金貂换酒	-5
春暖花香	5
丽日和风	5
风清月朗	5
雪窖冰天	-7
水光山色	5
花朝月夕	5
云蒸霞蔚	9
自始至终	3
察察为明	-5
杜口木舌	-5
不知深浅	-3
拿腔做势	-5
兼权熟计	3
以力服人	-5
纬武经文	3
执牛耳	3
才貌超群	9
风云人物	9
绝世超伦	9
能文能武	5
人才出众	5
头角峥嵘	9
允文允武	7
寸指测渊	-3
寡见少闻	-3
立地书橱	7
真才实学	5
有眼无珠	-7
试金石	7
蛟龙得水	9
兼覆无遗	7
一世龙门	7
心有余而力不足	-3
乌有先生	-5
黔突暖席	-3
失之东隅，收之桑榆	3
如入无人之境	3
生死之交	5
雾鬓风鬟	3
高足弟子	3
才调秀出	5
何乐而不为	5
不败之地	9
胸有成竹	9
披露腹心	5
凤凰于飞	5
车马盈门	5
雨后春笋	7
功标青史	9
书功竹帛	9
旰食之劳	7
夙夜匪懈	7
孜孜不怠	9
眼观六路，耳听八方	5
相辅而行	5
春兰秋菊	3
独步天下	9
急中生智	3
日下无双	9
十行俱下	3
无所不通	5
凡事预则立，不预则废	3
兼容并包	7
龙章凤姿	7
尧趋舜步	9
美如冠玉	5
相貌堂堂	5
风流旖旎	5
朱唇皓齿	5
以德报德	5
面折廷争	5
守正不阿	7
直道而行	3
悃愊无华	3
过五关，斩六将	9
待时而动	3
改步改玉	1
清源正本	5
旗开得胜	5
宽以待人	5
万顷之陂	5
忘怀得失	5
弹无虚发	5
置之死地而后生	3
横扫千军	7
人强马壮	3
无敌于天下	7
纵横驰骋	5
磨穿铁砚	3
豁目开襟	3
勇猛精进	3
金玉良言	5
放下屠刀，立地成佛	5
洗心革面	5
鹰鼻鹞眼	-5
阿谀取容	-5
妒能害贤	-5
怀才之遇	-5
鸡皮鹤发	-3
交臂失之	-5
道尽途穷	-7
节节败退	-5
师老民困	-3
人老珠黄	-3
行尸走肉	-7
不朗不秀	-5
驽马恋栈	-5
臭肉来蝇	-9
同流合污	-7
梁上君子	-5
死有余僇	-9
背道而驰	-3
弄假成真	-1
以冰致蝇	-5
屋下架屋	-3
蠢如鹿豕	-5
扣盘扪烛	-5
谄山傲下	-5
罪魁祸首	-9
同床异梦	-5
鼹腹易盈	-5
淆惑视听	-5
无的放矢	-3
矜功伐善	-7
说嘴打嘴	-7
自取其咎	-7
作茧自缚	-7
横生枝节	-3
惨淡经营	3
百无一能	-1
遇人不淑	-3
贪小失大	-5
断章截句	-3
点金成铁	-5
佶屈聱牙	-3
白头相守	3
高山流水	5
玉堂金马	3
修文偃武	3
兄肥弟瘦	3
并蒂莲	1
一双两好	3
是非分明	3
过目不忘	3
好语似珠	1
一片至诚	5
人前背后	-7
从容就义	7
慷慨赴义	7
勇猛直前	7
黄花晚节	7
忠肝义胆	9
承欢膝下	5
卑礼厚币	5
敬贤爱士	7
香花供养	9
不以人废言	5
有则改之，无则加勉	3
自作聪明	-3
管见所及	-5
逊志时敏	5
傲视轻物	-5
好自矜夸	-5
目无下尘	-5
朋党之争	-5
争名于朝，夺利于世	-7
狼吞虎咽	-3
贪求无厌	-7
蛊惑人心	-5
顶了	7
啥也不说了	-7
稀饭	5
超赞	9
_ass	-5
臭嘴	-3
烂人	-3
Happy	5
RY	-7
蛋白质	-5
leecher	-5
牛x	7
kaka	3
我吐	-5
好高务远	-7
荒谬	-5
看风使舵	-5
大杂烩	-1
兜售	-1
刚愎自用	-7
夸夸其谈	-3
爱发牢骚	-3
烂摊子	-7
理屈词穷	-1
乱七八糟	-3
貌合神离	-1
颓靡	-3
谋害	-5
懦弱	-5
不堪入目	-9
凶恶	-3
蚍蜉撼树	-3
刻板	-3
奇货可居	-3
巧立名目	-3
轻举妄动	-3
三心二意	-3
奢侈	-7
失职	-5
四分五裂	-1
呆若木鸡	-5
挑肥拣瘦	-5
视同儿戏	-5
万马齐喑	-5
无的放失	-1
无所不至	-3
洗劫	-3
闲言碎语	-1
倚仗	-1
杂乱	-3
自私	-7
恶狠狠	-7
阴贼	-7
邪念	-7
幸灾乐祸	-7
刁悍	-7
老奸巨猾	-5
不义	-7
乏货	-3
拿大	-5
自命不凡	-7
落落寡合	-3
拘执	-1
顽固不化	-7
乖僻	-5
装假	-3
油嘴滑舌	-5
厚此薄彼	-3
利己主义	-3
刻舟求剑	-3
村俗	-5
诈唬	-3
摆谱儿	-5
贸然	-3
愚味	-5
不知进退	-5
冠冕堂皇	-5
浮漂	-1
刁诈	-7
虚浮	-3
土气	-5
胆小	-3
心不在焉	-3
首鼠两端	-5
粉饰	-3
离谱	-5
卖好	-3
欺蒙	-5
招摇撞骗	-7
做鬼	-3
瞎闹	-5
策划	-1
斥责	-7
被动	-1
反眼不识	-7
反复无常	-3
神经	-5
异想天开	-7
心眼多	-3
简陋	-3
偏激	-5
冷眼旁观	-5
冷语冰人	-5
分文不值	-5
模糊不清	-1
慢慢腾腾	-3
独断	-5
不近人情	-3
安于现状	-3
半封建	-3
吃偏饭	-3
讥笑	-5
老一套	-1
明哲保身	-7
贪心不足	-7
不廉	-7
低俗	-7
有伤风化	-3
守财奴	-5
淫荡	-7
荡检逾闲	-7
诟骂	-5
抓破脸	-5
恩将仇报	-5
耍花招	-1
献媚	-5
阿谀奉承	-5
破绽百出	-5
毫不留情	-5
一文不值	-7
盲人摸象	-1
理亏|	-1
莫名其妙	-5
寡廉鲜耻	-5
有名无实	-1
歹心	-5
名不符实	-3
想当然	-3
劣等	-5
把持	-3
白费	-3
败叶	-1
暴利	-1
笨蛋	-3
不济	-5
惨杀	-7
年富力强	5
憷场	-1
借刀杀人	-3
疯狂	-7
离奇	-5
不慌不忙	3
镇静	3
精明强干	7
毕肖	3
辩才	5
宾朋	3
秉正	5
博古	5
不渝	-7
才识	5
苍绿	3
徜徉	5
草芥	-3
差池	-3
拆台	-5
孱弱	-3
剿说	-3
扯臊	-3
陈规	-5
逞凶	-3
畅述	5
超迈	5
彻悟	3
称庆	3
呈递	3
魑魅	-7
冲犯	-3
丑话	-1
臭棋	-1
呈祥	5
澄空	3
绸缪	5
传世	5
出局	-1
创意	3
垂询	3
纯美	5
鹑衣	-1
疵品	-3
粗莽	-5
篡改	-5
措大	-1
大话	-3
党棍	-7
倒运	-5
盗骗	-5
低档	-3
国宾	5
国事	1
憨实	3
酣甜	1
敌酋	-5
地煞	-7
凋落	-3
喋喋	-5
斗气	-3
毒手	-5
黩武	-7
短见	-5
掇弄	-3
厄运	-3
恶煞	-7
恶兆	-3
发狂	-3
犯傻	-3
妨碍	-3
飞贼	-3
非法	-3
废然	-5
偾事	-3
浮词	-3
腐旧	-7
干号	-3
苟安	-7
辜负	-3
关碍	-3
惯家	-3
绰约	5
辞让	1
葱笼	3
璀璨	3
脆爽	3
答拜	3
大才	7
大器	5
胆气	5
鬼混	-5
得道	5
的当	5
地利	3
典重	5
鼎力	5
过当	-3
含混	-3
黑道	-5
黑手	-3
哄抬	-1
胡说	-1
话柄	-1
惶然	-7
毁弃	-3
秽气	-5
混说	-1
祸事	-3
极权	-3
家贼	-3
奸商	-5
简慢	-3
狡计	-5
芥蒂	-1
纠合	-5
攫取	-7
赖账	-1
苛责	-1
空泛	-3
洞达	3
洞天	5
狂言	-1
亏负	-3
笃情	5
端静	3
敦聘	3
娥眉	5
恩物	5
繁富	3
范文	5
芳心	3
蜚声	7
肥甘	5
奋斗	3
丰美	5
丰收	3
风光	1
奉献	7
福祉	3
富庶	3
赅备	3
甘当	5
刚决	5
高敞	3
高古	5
狼藉	-3
落架	-5
冷害	-3
厉鬼	-7
凌轹	-5
流弊	-5
高卧	7
漏税	-5
乱兵	-1
乱子	-5
落马	-3
骂街	-3
忙乱	-5
冒进	-1
媚世	-3
糜烂	-5
民贼	-5
魔王	-5
告成	3
革新	3
攻克	1
功底	1
躬行	1
够朋友	9
乖觉	5
观赏	3
暮气	-3
纳粹	-7
纳贿	-3
闹腾	-3
内忧	-5
腻歪	-3
女巫	-5
拍马	-5
叛乱	-7
汗青	3
豪举	7
赔钱	-5
批缪	-3
屁话	-5
骗术	-5
频仍	-3
破灭	-5
悭吝	-3
浅学	-3
强梁	-3
硗薄	-3
河山	7
合理	1
和调	1
贺联	3
鸿儒	7
鸿福	7
宏阔	3
厚恩	3
虎劲	3
互助	1
化育	5
欢声	5
黄金	5
恢复	1
惠风	5
活便	1
火花	1
激赏	9
机变	5
机运	1
吉星	9
侵夺	-5
轻慢	-3
囚犯	-3
屈膝	-5
权贵	-5
群氓	-5
冗员	-3
丧乱	-5
啬刻	-3
煞气	-3
失察	-5
失闪	-5
失着	-3
事故	-5
受过	-5
受穷	-5
树敌	-5
说客	-5
厮混	-5
肆扰	-5
损害	-5
塌台	-5
糖弹	-3
套购	-5
挑动	-7
同谋	-5
屠戮	-7
退化	-3
瓦全	-5
玩忽	-7
妄断	-5
忘本	-5
违反	-5
倭寇	-5
诬栽	-7
西风	-5
黠慧	-5
险象	-5
嚣闹	-3
小鞋	-5
邪道	-7
邪祟	-5
腥臊	-3
凶年	-5
凶焰	-5
朽木	-3
虚怯	-3
续貂	-3
玄虚	-3
驯化	-5
炎凉	-7
洋鬼子	-5
妖雾	-5
业障	-5
遗恨	-7
臆说	-5
阴狠	-7
淫辞	-5
淫邪	-5
迎合	-5
忧烦	-5
诱饵	-3
迂拘	-5
愚暗	-5
语病	-3
切合	5
冤狱	-7
怨嗟	-3
亲睦	5
勤力	5
清醇	3
砸锅	-5
杂质	-3
大师	7
山穷水尽	-9
天才	9
黑白分明	5
明察秋毫	7
皎洁	7
毒化	-9
鬼斧神工	9
差役	-5
褒扬	7
调戏	-7
管事	3
匹夫	-7
活跃	5
败退	-1
私心	-5
披肝沥胆	7
游刃有余	9
灿若云霞	9
空谈	-9
因地制宜	3
粗暴	-5
婉转	3
习染	-7
骨干	7
无私	5
身强力壮	3
激扬	9
坦白	5
行将就木	-3
大团结	1
柔和	3
乱哄哄	-3
丢人现眼	-7
合宜	3
谨严	5
用心	5
智囊	5
对头	3
沆瀣一气	-7
小丑	-5
颓唐	-5
贡献	5
挂一漏万	-1
状元	7
和气	1
企图	-3
深谋远虑	7
漫无边际	-5
喜事	7
坐井观天	-7
旷达	5
把稳	5
便捷	5
二五眼	-7
唯唯诺诺	-7
漏洞	-3
英明	7
退步	-3
栉风沐雨	5
拙朴	3
非议	-5
白璧无瑕	9
拿手好戏	5
凉快	3
含糊其辞	-5
气昂昂	1
残害	-9
瑰玮	9
急功近利	-9
摇尾乞怜	-9
烦乱	-9
奋战	3
失慎	-3
死皮赖脸	-7
薄弱	-1
一味	-5
平易	5
适逢其会	5
腻烦	-7
欣赏	7
故态复萌	-5
强盛	5
痛快淋漓	7
气短	-3
市侩	-9
奋勉	5
祥和	7
耽搁	-3
绕圈子	-7
大方	5
硕果仅存	3
有恃无恐	-5
纸上谈兵	-5
背时	-5
豁亮	5
恣意	-7
畏首畏尾	-5
骄横	-5
诈骗	-5
可观	5
婵娟	7
居心	-5
助长	-5
搬弄	-5
宁静	5
父老	3
光复	3
长进	5
妙不可言	7
鼓吹	-7
好事	5
灾荒	-1
经典	9
光耀	9
贡献	5
依依	3
开阔	5
吵闹	-7
杀人不见血	-9
规范	5
危殆	-7
虚构	-5
佳人	5
乐天	1
鲜美	1
操之过急	-1
成心	-1
颠三倒四	-1
合时	1
和畅	1
和洽	1
虎背熊腰	1
精制	1
时新	1
受窘	-1
恬然	1
温馨	1
名存实亡	-1
投鼠忌器	-1
沾沾自喜	-1
慧眼独具	1
安之若素	1
抱头鼠窜	-1
擘肌分理	1
不攻自破	-1
彻头彻尾	-1
吹篪乞食	-1
达权通变	1
道道地地	1
饭糗茹草	-1
干净利落	1
钩深致远	1
敬业乐群	1
窥豹一斑	-1
皮之不存，毛将焉附	-1
平复如故	1
清晰可辨	1
情急智生	1
深历浅揭	1
师出有名	1
听天由命	-1
挖空心思	-1
嬉皮笑脸	-1
喜怒无常	-1
怨女旷夫	-1
知其一，不知其二	-1
走马看花	-1
黑哨	-1
愁绪	-1
讹脱	-1
横事	-1
后盾	1
火性	-1
狂人	-1
野性	-1
:)	1
带动	1
洞视	1
翻悔	-1
富民	1
感召	1
好受	1
互让	1
冒充	-1
讨好	-1
挺进	1
推服	1
阴冷	-3
痴肥	-3
花心	-3
烦嚣	-3
晦气	-3
热流	3
脆美	3
焕然	3
驯顺	3
初生牛犊般	3
甘美多汁	3
工致	3
静谧	3
美美	3
凶悍	-3
索寞	-3
顺眼	3
安澜	3
蔼如	3
背理	-3
悖晦	-3
憋屈	-3
不法	-3
不苟	3
称意	3
刺耳	-3
粗浅	-3
崔巍	3
单弱	-3
低效	-3
动人心弦	3
抖擞	3
独到	3
多病	-3
多闻	3
二流	-3
放肆	-3
纷杂	-3
粉嫩	3
封建	-3
浮艳	-3
鲠直	3
工工整整	3
恭肃	3
古怪	-3
乖巧	3
贵重	3
含悲	-3
好胜	-3
浩渺	3
合欢	3
和睦	3
宏亮	3
华丽	3
涣散	-3
晃悠悠	-3
晦涩	-3
活泼泼	3
奖罚分明	3
狡黠	-3
矫情	-3
劲拔	3
近便	3
举案齐眉	3
看不上	-3
可塑	3
铿锵	3
枯燥	-3
拉下脸来	-3
狼狈	-3
乐观	3
劣质	-3
灵活机动	3
灵捷	3
灵敏	3
鲁钝	-3
昧心	-3
闷热	-3
明慧	3
耐用	3
驽钝	-3
偏枯	-3
贫瘠	-3
千娇百媚	3
惬心	3
亲近	3
轻忽	-3
清拔	3
清静	3
清冽	3
清婉	3
遒健	3
冗长	-3
洒洒	3
殊荣	3
疏阔	-3
舒缓	3
舒适	3
松散	-3
肃杀	-3
随和	3
遂心	3
讨嫌	-3
挑食	-3
妥当	3
婉曼	3
娓娓	3
稳拿	3
问心无愧	3
无动于衷	-3
无恒	-3
稀烂	-3
险厄	-3
响亮	3
淆乱	-3
笑影	3
雄武	3
羞人答答	-3
朽腐	-3
一个心眼	-3
饮恨吞声	-3
莹白	3
悠闲自在	3
黝黯	-3
迂回曲折	-3
娱心	3
知疼着热	3
直肠子	3
直观	3
著名	3
群起而攻之	-3
涂脂抹粉	-3
倚门卖笑	-3
障人眼目	-3
指手画脚	-3
白璧微瑕	-3
气味相投	3
错落有致	3
人尽其才	3
心广体胖	3
风光如画	3
根深蒂固	-3
整整齐齐	3
福与天齐	3
衣轻乘肥	3
囊括四海	3
笨鸟先飞	3
病急乱投医	-3
不管不顾	-3
不蔓不枝	3
不失毫厘	3
不修边幅	-3
草木愚夫	-3
察见渊鱼	-3
朝不谋夕	-3
持重待机	3
踌躇不决	-3
除暴安良	3
窗明几净	3
垂首过膝	3
椿萱并茂	3
慈悲为怀	3
从风而服	-3
从容自若	3
打肿脸充胖子	-3
大杀风景	-3
大有裨益	3
得胜回朝	3
颠沛流离	-3
东拉西扯	-3
独出心裁	3
耳聪目明	3
二三其德	-3
饭来张口	-3
放浪江湖	-3
非分之想	-3
锋发韵流	3
逢山开路，遇水搭桥	3
扶摇直上	3
富有成果	3
甘拜下风	3
各有千秋	3
公正客观	3
狗尾续貂	-3
古调不弹	3
蒿目时艰	-3
花里胡哨	-3
绘声绘影	3
豁然大悟	3
江山易改，本性难移	-3
姜桂之性	3
降格以求	-3
脚踏实地	3
解语花	3
锦心绣口	3
精精神神	3
举直错枉	3
开诚相见	3
慷慨陈词	3
糠菜半年粮	-3
口齿伶俐	3
口说无凭	-3
口诵心惟	3
胯下之辱	5
快人快事	3
拉帮结派	-3
蓝天生玉	3
老不晓事	-3
临渴掘井	-3
流落他乡	-3
墨守成规	-3
拈斤播两	-3
翩若惊鸿	3
谦恭虚己	3
前言不搭后语	-3
窃窃私语	-3
求道于盲	-3
求民病利	3
燃糠自照	3
让枣推梨	3
如狼似虎	-3
如数家珍	3
如坐云雾	-3
搔首弄姿	-3
视民如伤	3
视若儿戏	-3
寿比南山	3
四海宴然	3
天花乱坠	-3
乌焉成马	-3
帮派	-1
没有礼貌	-3
没见过世面	-3
没什么了不起	-3
相形见绌	-3
逍遥自娱	-3
心坚石穿	3
心无二用	3
雄心壮志	3
朽木粪墙	-3
栩栩如活	3
言犹在耳	3
研桑心计	3
一登龙门	3
一哄而起	-3
一挥而就	3
一字不苟	3
易地皆然	3
受过良好训练	1
隐恶扬善	3
庸人自扰	-3
用尽心机	-3
有目共睹	3
有眼不识泰山	-3
与时沉浮	-3
张冠李戴	-3
支吾其词	-3
秩序井然	3
置之不理	-3
烛照数计	3
自不量力	-3
足履实地	3
暴力	-3
粗话	-3
红装	3
魔怪	-3
穷途	-3
爱侣	3
谤议	-3
宝座	3
宾客	3
参错	-3
诚心	3
春晖	3
蠢事	-3
繁星	3
风采	3
府上	3
甘露	3
公仆	3
贵人	3
过错	-3
海难	-3
祸患	-3
纪念堂	3
尖兵	3
接班人	3
辣词儿	-3
末日	-3
目论	-3
耐性	3
痞棍	-3
缺陷	-3
韧劲	3
弱点	-3
傻子	-3
世弊	-3
同伙	-3
脱误	-3
下品	-3
枭将	3
行家	3
秀色	3
硬汉	3
众望	3
祝词	3
壮心	3
赘言	-3
浊浪	-3
罪过	-3
告非	3
猪头	-3
八错	3
摆阔	-3
串供	-3
捣鬼	-3
瞒上欺下	-3
跌份	-3
拆散	-3
得势	-3
勾通	-3
斗艳	3
捐赠	3
拌嘴	-3
感激	3
拜读	3
背包袱	-3
奔驰	3
毕力	3
庇荫	-3
扯淡	-3
成功	3
成章	3
出丑	-3
创业	3
窜逃	-3
打谎	-3
胆敢	-3
抵触	-3
发横	-3
发扬	3
丰登	3
济困	3
见告	3
结伙	-3
尽孝	3
精于	3
久慕	3
救助	3
苛待	-3
勒索	-3
流窜	-3
落荒	-3
炮制	-3
疲困	-3
睥睨	-3
破裂	-3
迁怒于人	-3
潜踪	-3
钦赞	3
惹祸	-3
撒气	-3
善终	3
失检	-3
失序	-3
甩脸子	-3
贪小	-3
叹羡	3
羡慕	3
雄丽	3
噪嚷	-3
纵容	-3
遵守	3
偏颇	-5
火速	5
荣膺	5
华艳	5
火炽	5
济济	5
公直	5
宏放	5
洁莹	5
不含糊	5
狡诈	-5
难吃	-5
厌倦	-5
专权	-5
要命	-5
昌隆	5
都雅	5
舒爽	5
投缘	5
楚楚	5
对路	5
媚俗	-5
哀悯	-5
霸道	-5
笔挺	5
博达	5
不愧	5
赤诚	5
出口不凡	5
纯谨	5
纯情	5
淳化	5
慈眉善目	5
聪睿	5
聪颖	5
得体	5
得意	5
低能	-5
顶用	5
懂事	5
发怵	-5
犯难	-5
非分	-5
悱恻	-5
丰赡	5
怫然	-5
负责	5
富裕	5
干瘪	-5
干净	5
干练	5
甘甜	5
敢作敢为	5
刚正	5
高洁	5
公而忘私	5
公平	5
恭敬	5
诡秘	-5
裹足不前	-5
过人	5
涵蓄	5
虎着脸	-5
欢庆	5
欢悦	5
昏乱	-5
机敏	5
激昂	5
济济一堂	5
假惺惺	-5
兼优	5
俭朴	5
娇生惯养	-5
骄人	5
尽心	5
精彩纷呈	5
精美	5
精奇	5
精锐	5
精神饱满	5
精心	5
隽永	5
可贵	5
空前	5
抠门儿	-5
抠搜	-5
口是心非	-5
快捷	5
快乐	5
脍炙人口	5
老成持重	5
乐和	5
乐以忘忧	5
俚俗	-5
历演不衰	5
率直	5
啰啰嗦嗦	-5
落落大方	5
冒昧	-5
面貌一新	5
面无愧色	5
妙曼	5
腻人	-5
努牙突嘴	-5
贫嘴	-5
恰当	5
浅陋	-5
强健	5
惬意	5
亲热	5
勤奋	5
轻婉	5
清彻	5
晴美	5
穷乏	-5
全新	5
热心肠	5
人和	5
仁慈	5
如花似锦	5
善良	5
神算	5
实意	5
使喜悦	5
始终不懈	5
所向无敌	5
堂皇	5
威风凛凛	5
伪善	-5
温柔	5
沃衍	5
无稽	-5
无私无畏	5
无懈可击	5
熙和	5
细腻	5
细匀	5
狎亵	-5
鲜丽	5
闲逸	5
贤明	5
娴雅	5
相悦	5
孝顺	5
笑嘻嘻	5
邪曲	-5
心狠	-5
心劳日拙	-5
心绪不宁	-5
欣然	5
新兴	5
兴腾	5
雄壮	5
秀雅	5
虚诳	-5
轩敞	5
勋章	5
驯良	5
雅静	5
妍丽	5
艳美	5
要好	5
逸趣	5
毅然决然	5
盈盈	5
踊跃	5
优裕	5
优越	5
油头滑脑	-5
有成	5
有为	5
迂执	-5
愉悦	5
玉宇	5
匀妥	5
赞羡	5
葬送	-5
缜密	5
执性	-5
直率	5
至上	5
质朴	5
忠勇	5
专注	5
庄严	5
壮烈	5
自觉	5
自主	5
嘴尖	-5
嘴快	-5
做得好	5
公然	-5
鸡毛蒜皮	-5
私心杂念	-5
谦虚谨慎	5
聪明才智	5
同舟共济	5
衣不解带	5
别有天地	5
沧海遗珠	-5
鸟入樊笼	-5
穷乡僻壤	-5
时不我与	-5
支离破碎	-5
与虎添翼	5
鼓腹而游	-5
衮衮诸公	-5
脚踏两只船	-5
面从腹诽	-5
是非口舌	-5
随风倒舵	-5
造言惑众	-5
节外生枝	-5
劳而无功	-5
贫病交迫	-5
妙手空空	-5
丢盔弃甲	-5
赏罚不当	-5
赏罚不信	-5
丑态百出	-5
调三斡四	-5
暮气沉沉	-5
攀龙附凤	-5
向火乞儿	-5
胁肩低眉	-5
虚掷光阴	-5
兵不血刃	5
冰肌玉骨	5
天上石麟	5
出奇制胜	5
以身殉职	5
不怨天,不尤人	5
红花绿柳	5
老少无欺	5
令人钦佩	5
谦谦君子	5
手眼通天	-5
百二山河	5
爱财如命	-5
按图索骥	-5
傲睨一世	-5
拔刀相助	5
百步穿杨	5
百废俱兴	5
百思不解	-5
抱薪救火	-5
笨手笨脚	-5
鄙俚浅陋	-5
博学多闻	5
补偏救弊	5
